id,title,description,publishTime,kind_stats,duration_seconds,viewCount,likeCount,commentCount,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,contentDetails.duration,contentDetails.dimension,topicDetails.topicCategories,snippet.defaultLanguage,localizations.en.title,localizations.en.description,snippet.tags,pull_date
dg2Ag3e8W-Q,I Opened A Restaurant That Pays You To Eat At It,Download our MrBeast Burger App and order food NOW! IOS - https://apps.apple.com/us/app/mrbeast-burger/id1543431762 ...,2020-12-19 22:00:03+00:00,youtube#video,639,99402791,3635433,727937,https://i.ytimg.com/vi/dg2Ag3e8W-Q/default.jpg,120,90,https://i.ytimg.com/vi/dg2Ag3e8W-Q/mqdefault.jpg,320,180,https://i.ytimg.com/vi/dg2Ag3e8W-Q/hqdefault.jpg,480,360,PT10M39S,2d,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",,,,,2022-02-06 02:45:04.101288+00:00
5V2B28OqfqM,"I Spent $1,000,000 On Lottery Tickets and WON",I didnt think i was going to win that much... looks like im buying an island New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I ...,2020-08-08 20:00:02+00:00,youtube#video,613,61593765,2197378,83573,https://i.ytimg.com/vi/5V2B28OqfqM/default.jpg,120,90,https://i.ytimg.com/vi/5V2B28OqfqM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5V2B28OqfqM/hqdefault.jpg,480,360,PT10M13S,2d,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],,,,,2022-02-06 02:45:04.101288+00:00
mpZWt5pGKZ8,The Real Way Dinosaurs Went Extinct,SCHOOLS HAVE BEEN LYING TO YOU ALL YOUR LIFE! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...,2018-06-28 21:12:01+00:00,youtube#video,351,24242511,668057,43756,https://i.ytimg.com/vi/mpZWt5pGKZ8/default.jpg,120,90,https://i.ytimg.com/vi/mpZWt5pGKZ8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/mpZWt5pGKZ8/hqdefault.jpg,480,360,PT5M51S,2d,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],,,,,2022-02-06 02:45:04.101288+00:00
YQDDm9HLkV4,I Adopted EVERY Dog In A Dog Shelter,"This is my favorite video i have ever made, it took me 9 months to film. PLEASE DONATE HERE: https://furkids.org/donation/ New ...",2020-07-23 20:00:11+00:00,youtube#video,964,110650829,3452375,194543,https://i.ytimg.com/vi/YQDDm9HLkV4/default.jpg,120,90,https://i.ytimg.com/vi/YQDDm9HLkV4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/YQDDm9HLkV4/hqdefault.jpg,480,360,PT16M4S,2d,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Pet']",,,,,2022-02-06 02:45:04.101288+00:00
DuQbOQwVaNE,"Offering People $100,000 To Quit Their Job",Download Finger On The App 2 NOW! - https://beastgames.com/ New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...,2021-03-13 21:00:02+00:00,youtube#video,677,81258382,2656815,118840,https://i.ytimg.com/vi/DuQbOQwVaNE/default.jpg,120,90,https://i.ytimg.com/vi/DuQbOQwVaNE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/DuQbOQwVaNE/hqdefault.jpg,480,360,PT11M17S,2d,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],,,,,2022-02-06 02:45:04.101288+00:00
bs0SWXbty18,"Spending $1,000,000 In 24 Hours",watch till the end you wont believe everything he bought.... Get Honey for FREE and save on your holiday gifts ...,2019-12-21 21:00:01+00:00,youtube#video,910,103631325,3087975,121701,https://i.ytimg.com/vi/bs0SWXbty18/default.jpg,120,90,https://i.ytimg.com/vi/bs0SWXbty18/mqdefault.jpg,320,180,https://i.ytimg.com/vi/bs0SWXbty18/hqdefault.jpg,480,360,PT15M10S,2d,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],,,,,2022-02-06 02:45:04.101288+00:00
RCvnytndd9c,"Last To Leave VR Wins $20,000",YOU WON'T BELIEVE HOW LONG THEY LASTED!!! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2019-06-08 20:00:01+00:00,youtube#video,858,85537398,1976136,90804,https://i.ytimg.com/vi/RCvnytndd9c/default.jpg,120,90,https://i.ytimg.com/vi/RCvnytndd9c/mqdefault.jpg,320,180,https://i.ytimg.com/vi/RCvnytndd9c/hqdefault.jpg,480,360,PT14M18S,2d,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],,,,,2022-02-06 02:45:04.101288+00:00
urtFrxDUV6c,"Would YOU Quit School For $100,000?",You won't believe what they chose! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2021-07-10 20:00:09+00:00,youtube#video,694,59586157,2078576,79548,https://i.ytimg.com/vi/urtFrxDUV6c/default.jpg,120,90,https://i.ytimg.com/vi/urtFrxDUV6c/mqdefault.jpg,320,180,https://i.ytimg.com/vi/urtFrxDUV6c/hqdefault.jpg,480,360,PT11M34S,2d,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Vehicle']",,,,,2022-02-06 02:45:04.101288+00:00
tQ4m4zD7BBA,"Last To Fall Wins $1,000,000 (Part 1)",BUY MY MERCH!! - https://shopmrbeast.com/ FOLLOW MY INSTAGRAM!! - https://www.instagram.com/mrbeast SUBSCRIBE OR ...,2019-11-14 21:00:31+00:00,youtube#video,1017,86066093,2043809,53050,https://i.ytimg.com/vi/tQ4m4zD7BBA/default.jpg,120,90,https://i.ytimg.com/vi/tQ4m4zD7BBA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/tQ4m4zD7BBA/hqdefault.jpg,480,360,PT16M57S,2d,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Technology']",,,,,2022-02-06 02:45:04.101288+00:00
RwnN2FVaHmw,"Last to Stop Swinging Wins $1,000,000 (Part 2)",I BET YOU DIDNT EXPECT THAT TO HAPPEN LOL (watch till the end) Get Honey for FREE and start saving money today ...,2019-11-30 21:00:03+00:00,youtube#video,783,60285780,1385466,80362,https://i.ytimg.com/vi/RwnN2FVaHmw/default.jpg,120,90,https://i.ytimg.com/vi/RwnN2FVaHmw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/RwnN2FVaHmw/hqdefault.jpg,480,360,PT13M3S,2d,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],,,,,2022-02-06 02:45:04.101288+00:00
